timeraw,date,player,change,elo,rank
1680506231,"Monday, April 3, 2023 9:17 AM","S is for Salt#TF77",-25,1936,"Ascendant 2"
1680508578,"Monday, April 3, 2023 9:56 AM","S is for Salt#TF77",-20,1916,"Ascendant 2"
1680511102,"Monday, April 3, 2023 10:38 AM","S is for Salt#TF77",-19,1900,"Ascendant 2"
1680529827,"Monday, April 3, 2023 3:50 PM","finx80#6969",0,2114,"Immortal 1"
1680543126,"Monday, April 3, 2023 7:32 PM","Basil#007",14,1059,"Gold 2"
1680547201,"Monday, April 3, 2023 8:40 PM","S is for Salt#TF77",18,1918,"Ascendant 2"
1680547201,"Monday, April 3, 2023 8:40 PM","finx80#6969",19,2133,"Immortal 1"
1680549029,"Monday, April 3, 2023 9:10 PM","S is for Salt#TF77",-22,1900,"Ascendant 2"
1680549029,"Monday, April 3, 2023 9:10 PM","finx80#6969",-23,2110,"Immortal 1"
1680551889,"Monday, April 3, 2023 9:58 PM","S is for Salt#TF77",-18,1882,"Ascendant 1"
1680554140,"Monday, April 3, 2023 10:35 PM","S is for Salt#TF77",15,1897,"Ascendant 1"
1680561195,"Tuesday, April 4, 2023 12:33 AM","Basil#007",-23,1036,"Gold 2"
1680574874,"Tuesday, April 4, 2023 4:21 AM","Basil#007",-18,1018,"Gold 2"
1680577948,"Tuesday, April 4, 2023 5:12 AM","Basil#007",17,1035,"Gold 2"
1680606352,"Tuesday, April 4, 2023 1:05 PM","S is for Salt#TF77",17,1914,"Ascendant 2"
1680619341,"Tuesday, April 4, 2023 4:42 PM","S is for Salt#TF77",17,1931,"Ascendant 2"
1680623567,"Tuesday, April 4, 2023 5:52 PM","S is for Salt#TF77",18,1949,"Ascendant 2"
1680623567,"Tuesday, April 4, 2023 5:52 PM","finx80#6969",18,2128,"Immortal 1"
1680625640,"Tuesday, April 4, 2023 6:27 PM","S is for Salt#TF77",14,1963,"Ascendant 2"
1680626269,"Tuesday, April 4, 2023 6:37 PM","ninicoco1#NA1",14,956,"Gold 1"
1680632645,"Tuesday, April 4, 2023 8:24 PM","S is for Salt#TF77",15,1978,"Ascendant 2"
1680637602,"Tuesday, April 4, 2023 9:46 PM","S is for Salt#TF77",18,1996,"Ascendant 2"
1680639281,"Tuesday, April 4, 2023 10:14 PM","S is for Salt#TF77",17,2013,"Ascendant 3"
1680639281,"Tuesday, April 4, 2023 10:14 PM","finx80#6969",20,2148,"Immortal 1"
1680655384,"Wednesday, April 5, 2023 2:43 AM","S is for Salt#TF77",-20,2000,"Ascendant 3"
1680657432,"Wednesday, April 5, 2023 3:17 AM","S is for Salt#TF77",-20,1980,"Ascendant 2"
1680658428,"Wednesday, April 5, 2023 3:33 AM","Raison163#NA1",26,1282,"Platinum 1"
1680658351,"Wednesday, April 5, 2023 3:32 AM","Phyzzl#2702",-22,1531,"Diamond 1"
1680657432,"Wednesday, April 5, 2023 3:17 AM","finx80#6969",-21,2127,"Immortal 1"
1680660524,"Wednesday, April 5, 2023 4:08 AM","Phyzzl#2702",-18,1513,"Diamond 1"
1680661492,"Wednesday, April 5, 2023 4:24 AM","Basil#007",23,1058,"Gold 2"
1680663397,"Wednesday, April 5, 2023 4:56 AM","Phyzzl#2702",-19,1500,"Diamond 1"
1680663243,"Wednesday, April 5, 2023 4:54 AM","Basil#007",22,1080,"Gold 2"
1680663243,"Wednesday, April 5, 2023 4:54 AM","Baman#0000",22,929,"Gold 1"
1680665515,"Wednesday, April 5, 2023 5:31 AM","Phyzzl#2702",-21,1479,"Platinum 3"
1680665689,"Wednesday, April 5, 2023 5:34 AM","Basil#007",-19,1061,"Gold 2"
1680665689,"Wednesday, April 5, 2023 5:34 AM","Baman#0000",-10,919,"Gold 1"
1680727997,"Wednesday, April 5, 2023 10:53 PM","finx80#6969",17,2144,"Immortal 1"
1680737223,"Thursday, April 6, 2023 1:27 AM","Baman#0000",13,932,"Gold 1"
1680739754,"Thursday, April 6, 2023 2:09 AM","Raison163#NA1",27,1310,"Platinum 2"
1680739469,"Thursday, April 6, 2023 2:04 AM","Phyzzl#2702",14,1493,"Platinum 3"
1680739754,"Thursday, April 6, 2023 2:09 AM","Baman#0000",32,964,"Gold 1"
1680741766,"Thursday, April 6, 2023 2:42 AM","Baman#0000",0,964,"Gold 1"
1680744869,"Thursday, April 6, 2023 3:34 AM","S is for Salt#TF77",-20,1960,"Ascendant 2"
1680744616,"Thursday, April 6, 2023 3:30 AM","Phyzzl#2702",21,1514,"Diamond 1"
1680745318,"Thursday, April 6, 2023 3:41 AM","Basil#007",19,1080,"Gold 2"
1680745318,"Thursday, April 6, 2023 3:41 AM","Baman#0000",20,984,"Gold 1"
1680747906,"Thursday, April 6, 2023 4:25 AM","Basil#007",-23,1057,"Gold 2"
1680747906,"Thursday, April 6, 2023 4:25 AM","Baman#0000",-16,968,"Gold 1"
1680760521,"Thursday, April 6, 2023 7:55 AM","S is for Salt#TF77",-23,1937,"Ascendant 2"
1680764133,"Thursday, April 6, 2023 8:55 AM","Phyzzl#2702",18,1532,"Diamond 1"
1680766694,"Thursday, April 6, 2023 9:38 AM","Phyzzl#2702",19,1551,"Diamond 1"
1680769222,"Thursday, April 6, 2023 10:20 AM","Phyzzl#2702",-20,1531,"Diamond 1"
1680773647,"Thursday, April 6, 2023 11:34 AM","S is for Salt#TF77",-20,1917,"Ascendant 2"
1680776054,"Thursday, April 6, 2023 12:14 PM","S is for Salt#TF77",19,1936,"Ascendant 2"
1680777896,"Thursday, April 6, 2023 12:44 PM","S is for Salt#TF77",-21,1915,"Ascendant 2"
1680780412,"Thursday, April 6, 2023 1:26 PM","S is for Salt#TF77",-19,1900,"Ascendant 2"
1680819364,"Friday, April 7, 2023 12:16 AM","Basil#007",23,1080,"Gold 2"
1680819364,"Friday, April 7, 2023 12:16 AM","Baman#0000",13,981,"Gold 1"
1680821450,"Friday, April 7, 2023 12:50 AM","Basil#007",14,1094,"Gold 2"
1680821450,"Friday, April 7, 2023 12:50 AM","Baman#0000",24,1010,"Gold 2"
1680824343,"Friday, April 7, 2023 1:39 AM","S is for Salt#TF77",18,1918,"Ascendant 2"
1680824343,"Friday, April 7, 2023 1:39 AM","finx80#6969",18,2162,"Immortal 1"
1680828185,"Friday, April 7, 2023 2:43 AM","S is for Salt#TF77",17,1935,"Ascendant 2"
1680828185,"Friday, April 7, 2023 2:43 AM","finx80#6969",15,2174,"Immortal 1"
1680831429,"Friday, April 7, 2023 3:37 AM","S is for Salt#TF77",-18,1917,"Ascendant 2"
1680831429,"Friday, April 7, 2023 3:37 AM","Phyzzl#2702",-14,1517,"Diamond 1"
1680831429,"Friday, April 7, 2023 3:37 AM","Baman#0000",-14,1000,"Gold 2"
1680834343,"Friday, April 7, 2023 4:25 AM","Phyzzl#2702",-13,1504,"Diamond 1"
1680834968,"Friday, April 7, 2023 4:36 AM","Raison163#NA1",-14,1300,"Platinum 2"
1680834968,"Friday, April 7, 2023 4:36 AM","ninicoco1#NA1",-10,946,"Gold 1"
1680835490,"Friday, April 7, 2023 4:44 AM","Ouress#NA2",22,1793,"Diamond 3"
1680834968,"Friday, April 7, 2023 4:36 AM","Baman#0000",-13,987,"Gold 1"
1680838036,"Friday, April 7, 2023 5:27 AM","S is for Salt#TF77",-14,1903,"Ascendant 2"
1680838036,"Friday, April 7, 2023 5:27 AM","Phyzzl#2702",-11,1500,"Diamond 1"
1680838036,"Friday, April 7, 2023 5:27 AM","Ouress#NA2",-14,1779,"Diamond 3"
1680840995,"Friday, April 7, 2023 6:16 AM","S is for Salt#TF77",14,1917,"Ascendant 2"
1680840995,"Friday, April 7, 2023 6:16 AM","Phyzzl#2702",15,1515,"Diamond 1"
1680840995,"Friday, April 7, 2023 6:16 AM","Ouress#NA2",15,1794,"Diamond 3"
1680893637,"Friday, April 7, 2023 8:53 PM","S is for Salt#TF77",-16,1901,"Ascendant 2"
